PDB,CDB,Oracle_Home,Compartment_Name,CDB_ID,Compartment_ID
PDB_FAKE_16,CDB_FAKE_14,jvb_dbhome,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iankxrottyvdo4ecebklubqhh6tay54azhb64w3m332vcq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_15,dbhome20240219202957,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iau4nwn2dy55t2wllevvjspthlosqrg33wdpeiznpszeqq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_16,mdoe-dbhome1-1920,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6fkji7z3leb3e5gnpw36xpshv7afhpkqvhfpfod3whda,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_17,CDB_FAKE_17,au-dbhome-23ai,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iavrclfuof5xwdwnkk2ihxwthxrggmavubx6j2e4rvd6bq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_18,CDB_FAKE_18,ESDB19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iah6v5bc5yffr7fmi57ekrjy6ozjvfk54vk5sb2ee25m5q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_19,CDB_FAKE_19,OraHome58,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iao4x52lvvvchrhese2ewkbgp4mjffiulqnhm3odpzssda,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_20,CDB_FAKE_20,dbhome-llopezf,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iams4sf66bwbyggfzay2svqigcgkpm7fnki7cah75o7o2q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_21,CDB_FAKE_21,fleetDemo_20250212115252015,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia3mp2sgdafoj5w4odg6rqa6nx36e42fhws7alindmxwkq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_22,CDB_FAKE_22,ESDB19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia2sajcbvidu23bza43txevrlcf64yyz6326jhnbobsphq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_23,CDB_FAKE_23,dbhome-236,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia2nhf43pfjncqaj2d5tfftod6yp4cccy3jj4g2vdu4v3q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_24,dbhome-nishar,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iadnlcw3537a344wiyfboq7pbgc2relvqdvlae6e7sroyq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_21,CDB_FAKE_25,fleetDemo_20250212115252015,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia5m6fmarriiakguu5kzfpynneahyfvt6u45xbpcx3mtjq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_24,CDB_FAKE_16,mdoe-dbhome1-1920,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6fkji7z3leb3e5gnpw36xpshv7afhpkqvhfpfod3whda,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_25,CDB_FAKE_26,sn-dbhome-19-19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia4r2d5vu6hofrv7jrqyat23nxck75k7mbw2zqfbcpusqq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_27,dbhome-falcotst202407301442,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ianyrjwqfwdczb42e7afdqhrzj4h4bq67sw34lq4gdekza,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_19,CDB_FAKE_28,sn-dbhome-19_25,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaduqekvnpo3t34xglnyegpxqnxs57qkizrludn72juqka,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_26,CDB_FAKE_13,rw_home,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iarwoknlbmd6ul37sp3nk7pqkycngw7fc5eebbrv366s5q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_29,ap-dbhome-23-4,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ianxvobiijsempl5uoljpxuppiqzv7ahifsqg677x3ai4q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_13,CDB_FAKE_30,RWHOME,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaaof6tfk7jxujh6v35tgke2766htpaz2px6fzxllyl6oa,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_31,au-dbhome-19c,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iabrcqh5c45jzf363hs6mvs7ihqey7p5fehhkvpmq7zlla,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_32,ap-dbhome-19-24,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iawbv67zn2lwf53cokl5yljsmqjxllogorrgr3s43w4yfq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_21,CDB_FAKE_33,FU1925_20250214164009209,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaccwfy2i3tmgk2opqsgpfsj6mmrbf7bxwq2x76iol244q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_34,ESDB19,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia4jqqd7du6xayzy2noxpc5y3gwvjqaatb2565jkxuhqkq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
